LN_LEN,LN_AADT,designException,numIntersections,numInterchanges,numHorCurves,Thru_Lanes,Aux_Lanes,HC_MILE,INT_MILE,Freeway,Rural
1.183259763,11.30290378,1,0,5,7,6,2,2.143950995,1.531393568,1,0
-0.872273846,10.14289808,1,2,0,0,4,1,0,4.784688995,0,0
0.555607767,10.1274974,1,18,0,0,4,1,0,10.32702238,0,0
-0.157824085,9.784797856,1,9,0,1,6,1,1.170960187,10.53864169,0,0
0.148420005,9.980834322,1,5,0,2,6,1,1.724137931,4.310344828,0,0
-2.292634762,9.65427805,1,1,0,1,2,1,9.900990099,9.900990099,0,1
2.626840146,9.714926571,1,0,3,14,4,0,1.012292119,0.21691974,1,1
0.285178942,8.47184709,1,1,0,0,2,0,0,0.751879699,0,1
-1.038458366,9.175748927,1,4,0,0,2,1,0,11.29943503,0,1
-1.505077897,8.092545264,1,2,0,0,2,0,0,9.009009009,0,1
2.305580602,9.058159972,1,0,2,32,4,0,3.190428714,0.199401795,1,1
1.068153081,8.993013206,1,8,0,3,2,0,1.030927835,2.749140893,0,0
1.101940079,8.38898096,1,1,0,0,4,0,0,0.332225914,0,1
-2.095570924,8.995908761,1,1,0,0,2,0,0,8.130081301,0,1
-2.040220829,8.412573142,1,2,0,2,2,1,15.38461538,15.38461538,0,0
-0.494296322,7.878912912,1,1,0,1,2,1,1.639344262,1.639344262,0,1
0.593326845,9.885781725,1,16,0,0,4,1,0,8.839779006,0,0
1.613230711,8.536014946,1,5,0,1,4,0,0.199242877,0.996214385,0,1
3.020034566,7.302047086,1,3,0,41,2,0,2.000780793,0.146398595,0,1
2.660259537,8.217708407,1,7,0,17,2,1,1.188811189,0.48951049,0,1
2.531313023,5.204006687,1,6,0,239,2,0,19.01352426,0.477326969,0,1
1.945910149,8.57508467,1,0,2,7,4,0,1,0.285714286,1,1
2.037316615,8.494538501,1,1,0,6,2,0,0.782268579,0.130378096,0,1
0.993251773,7.664659425,1,4,0,4,2,1,1.481481481,1.481481481,0,1
1.667706821,9.349087307,1,0,0,1,4,0,0.188679245,0,1,1
2.21746284,7.273555131,1,13,0,15,2,0,1.633275261,1.415505226,0,1
2.395164274,8.580793773,1,12,0,24,2,1,2.187784868,1.093892434,0,1
-0.693147181,8.133978692,1,2,0,1,2,0,2,4,0,1
2.30538118,6.867974409,1,9,0,15,2,0,1.495811727,0.897487036,0,1
1.134622726,11.24400408,1,0,3,6,8,2,1.92926045,0.964630225,1,0
2.130609828,7.753623547,1,5,0,1,2,0,0.118764846,0.593824228,0,1
-1.832581464,7.560948144,1,1,0,0,2,2,0,6.25,0,1
0.706556867,9.189593299,1,9,0,0,4,1,0,4.440059201,0,0
-0.118783536,9.799422494,1,10,0,1,2,1,1.126126126,11.26126126,0,0
2.292534757,9.51797212,1,0,2,9,4,0,0.909090909,0.202020202,1,1
-1.331806176,8.570417953,1,0,0,2,2,0,7.575757576,0,0,1
